model,frame_no,poles,kw,rpm_50hz,rpm_60hz,source_pdf,source_pages,check_status,notes
90L-4P,90L,4,1.5,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
90L-6P,90L,6,1.1,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
90L-8P,90L,8,0.55,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
100L1-4P,100L1,4,2.2,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
100L1-8P,100L1,8,0.75,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
100L2-2P,100L2,2,3,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"kW value was not confidently found in OCR text. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
100L2-4P,100L2,4,3,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"kW value was not confidently found in OCR text. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
100L2-6P,100L2,6,1.5,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
100L2-8P,100L2,8,1.1,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
112M-2P,112M,2,4,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"kW value was not confidently found in OCR text. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
112M-4P,112M,4,4,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"kW value was not confidently found in OCR text. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
112M-6P,112M,6,2.2,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132S1-2P,132S1,2,5.5,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132S1-4P,132S1,4,5.5,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132S1-6P,132S1,6,3,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame number was not confidently found in OCR text. kW value was not confidently found in OCR text. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132S1-8P,132S1,8,2,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame number was not confidently found in OCR text. kW value was not confidently found in OCR text. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132S2-2P,132S2,2,7.5,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132M1-4P,132M1,4,7.5,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame number was not confidently found in OCR text. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132M1-6P,132M1,6,4,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"kW value was not confidently found in OCR text. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132M1-8P,132M1,8,3,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"kW value was not confidently found in OCR text. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
132M2-6P,132M2,6,5.5,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160M1-2P,160M1,2,11,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160M1-4P,160M1,4,11,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160M1-6P,160M1,6,7.5,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160M2-2P,160M2,2,15,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160M2-8P,160M2,8,5.5,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160L-2P,160L,2,18.5,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160L-4P,160L,4,15,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160L-6P,160L,6,11,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
160L-8P,160L,8,7.5,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
180M-2P,180M,2,22,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
180M-4P,180M,4,18.5,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
180L-4P,180L,4,22,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
180L-6P,180L,6,15,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
180L-8P,180L,8,11,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L1-2P,200L1,2,30,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L1-4P,200L1,4,30,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L1-6P,200L1,6,18.5,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L1-8P,200L1,8,15,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L2-2P,200L2,2,37,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L2-6P,200L2,6,22,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225S-4P,225S,4,37,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225S-8P,225S,8,18.5,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225M-2P,225M,2,45,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225M-4P,225M,4,45,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225M-6P,225M,6,30,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225M-8P,225M,8,22,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
250M-2P,250M,2,55,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
250M-4P,250M,4,55,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
250M-6P,250M,6,37,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
250M-8P,250M,8,30,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280S-2P,280S,2,75,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280S-4P,280S,4,75,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280S-6P,280S,6,45,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280S-8P,280S,8,37,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280M-2P,280M,2,90,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
